Peak	Intensity	UV	Substrate	cma	Aminoacid
1003	28.0733032	72h	Olivine	21.27662694	Phe
1003	34.8458618	72h	Olivine	21.092978	Phe
1003	26.2015442	72h	Olivine	11.30537392	Phe
1003	4.710577	72h	Olivine	5.272591145	Phe
1003	0.0302106	72h	Olivine	3.602534918	Phe
1003	-2.8009567	72h	Olivine	2.804915645	Phe
1003	25.9409882	72h	Olivine	11.58524537	Phe
1003	12.9571564	72h	Olivine	14.92748217	Phe
1003	8.436924	72h	Olivine	14.88231544	Phe
1003	9.8269295	72h	Olivine	19.17884887	Phe
1003	-9.0192604	72h	Olivine	-1.374004527	Phe
1003	6.5795258	72h	Olivine	6.960563709	Phe
1003	11.3944008	72h	Olivine	9.720958991	Phe
1003	10.6694969	72h	Olivine	8.8101684	Phe
1003	6.8245918	72h	Olivine	19.32520163	Phe
1003	22.875145	72h	Olivine	12.86727324	Phe
1003	27.2550079	72h	Olivine	11.56812149	Phe
1003	28.7814453	72h	Olivine	10.70887924	Phe
1003	17.082869	72h	Olivine	42.19872479	Phe
1003	33.9895111	72h	Olivine	30.05877724	Phe
1003	42.5526917	72h	Olivine	29.47308971	Phe
1003	47.9665985	72h	Olivine	29.27995571	Phe
1003	25.9403931	72h	Olivine	18.09596901	Phe
1003	18.8260239	72h	Olivine	20.21815373	Phe
1003	16.0950272	72h	Olivine	19.03592735	Phe
1003	14.4251465	72h	Olivine	18.14884035	Phe
1003	34.6782745	72h	Olivine	39.4318754	Phe
1003	33.3909119	72h	Olivine	18.37816024	Phe
1003	41.517923	72h	Olivine	20.08733585	Phe
1003	44.8965088	72h	Olivine	21.51433047	Phe
1003	14.6271667	72h	Olivine	8.1367769	Phe
1003	32.991037	72h	Olivine	8.710701155	Phe
1003	41.8904541	72h	Olivine	10.24989444	Phe
1003	44.8078003	72h	Olivine	11.38577904	Phe
1003	351.208282	0h	Olivine	240.1482489	Phe
1003	304.405975	0h	Olivine	224.3418405	Phe
1003	295.80368	0h	Olivine	229.1042049	Phe
